Samplename,Genome,Domain,StudyName,Phylum,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem.Category,Ecosystem.Subtype,Ecosystem.Type,Environment,Genome_size_assembled,Gene_Count_assembled,Assimilatory Nitrite to ammonia,Dissimilatory Nitrite to Ammonia,Assimilatory Nitrate to Nitrite,Nitrogen Fixation,Dissimilatory Nitrate to Nitrite,Nitrification,Partial_Nitrification,Denitrification,Partial_NO,Partial_N2O,Partial_N2
Streptococcus dysgalactiae equisimilis RE378,2540341136,Bacteria,Streptococcus dysgalactiae equisimilis RE378,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae,,,,,Uncategorized,2151145,1965,None,None,None,None,None,None,None,None,None,None,None
Streptococcus equi zooepidemicus CY,2576861441,Bacteria,Streptococcus equi subsp. zooepidemicus CY Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equi,,,,,Uncategorized,2107382,2106,None,None,None,None,None,None,None,None,None,None,None
Streptococcus gordonii KCOM 1506,2639762860,Bacteria,Genome sequencing of Streptococcus gordonii KCOM 1506,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gordonii,,,,,Uncategorized,2283306,2277,None,None,None,None,None,None,None,None,None,None,None
Streptococcus halotolerans HTS9,2675903323,Bacteria,Streptococcus halotolerans HTS9 Genome sequencing and assembly,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus halotolerans,,,,,Uncategorized,2182100,2051,None,None,None,None,None,None,None,None,None,None,None
Streptococcus iniae ISET0901,2576861472,Bacteria,Streptococcus iniae strain:ISET0901 Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus iniae,,,,,Uncategorized,2070822,1997,None,None,None,None,None,None,None,None,None,None,None
Streptococcus iniae ISNO,2576861473,Bacteria,Streptococcus iniae strain:ISNO Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus iniae,,,,,Uncategorized,2070182,1996,None,None,None,None,None,None,None,None,None,None,None
Streptococcus iniae YSFST01-82,2648501179,Bacteria,Streptococcus iniae YSFST01-82 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus iniae,,,,,Uncategorized,2086959,2067,None,None,None,None,None,None,None,None,None,None,None
Streptococcus intermedius JTH08,2524023218,Bacteria,Streptococcus intermedius JTH08,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,,,,,Uncategorized,1933610,1784,None,None,None,None,None,None,None,None,None,None,None
Streptococcus intermedius KCOM 1545,2639762735,Bacteria,Genome sequencing of Streptococcus intermedius KCOM 1545,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,,,,,Uncategorized,1908201,1887,None,None,None,None,None,None,None,None,None,None,None
Streptococcus marmotae HTS5,2687453179,Bacteria,Streptococcus marmotae HTS5 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus marmotae,,,,,Uncategorized,2322791,2345,None,None,None,None,None,None,None,None,None,None,None
Streptococcus mitis KCOM 1350,2687453325,Bacteria,Genome sequencing of Streptococcus mitis KCOM 1350,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,,,,,Uncategorized,1906344,1877,None,None,None,None,None,None,None,None,None,None,None
Streptococcus mitis SVGS_061,2684623060,Bacteria,Complete genome of Streptococcus mitis Strain SVGS_061 Isolated from a Neutropenic Patient with VGS-Shock Syndrome,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,,,,,Uncategorized,2167922,2023,None,None,None,None,None,None,None,None,None,None,None
Streptococcus mutans GS-5,2518645554,Bacteria,Streptococcus mutans GS-5,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,,,,,Uncategorized,2027088,1958,None,None,None,None,None,None,None,None,None,None,None
Streptococcus mutans NG8,2687453117,Bacteria,Streptococcus mutans NG8 genome sequencing and assembly,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,,,,,Uncategorized,1984441,1929,None,None,None,None,None,None,None,None,None,None,None
Streptococcus mutans UA159-FR,2627853785,Bacteria,Streptococcus mutans UA159-FR,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,,,,,Uncategorized,2031692,1993,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pantholopis TA 26,2687453193,Bacteria,Streptococcus pantholopis TA 26 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pantholopis,,,,,Uncategorized,2241302,2110,None,None,None,None,None,None,None,None,None,None,None
Streptococcus parauberis KCTC 11537,650716090,Bacteria,Streptococcus parauberis KCTC 11537 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis,,,,,Uncategorized,2143887,1937,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pneumoniae A026,2558309056,Bacteria,Streptococcus pneumoniae A026,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,,,,,Uncategorized,2091879,2153,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pneumoniae A66,2687453169,Bacteria,Genome sequencing of Streptococcus pneumoniae isolate,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,,,,,Uncategorized,1983415,2020,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pneumoniae D219,2718218239,Bacteria,Variation within clones of S. pneumoniae,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,,,,,Uncategorized,2126190,2308,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pneumoniae NCTC7465,2663763358,Bacteria,Genome sequencing of bacterial type strains from NCTC culture collection,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,,,,,Uncategorized,2110968,2183,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pneumoniae NT_110_58,2630968830,Bacteria,Streptococcus pneumoniae strain:NT_110_58 Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,,,,,Uncategorized,2287774,2342,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes 19615,2597490128,Bacteria,Streptococcus pyogenes strain:19615 Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1844804,1873,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes 1E1,2627854261,Bacteria,Streptococcus pyogenes 1E1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1796152,1780,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes 7F7,2636415680,Bacteria,Streptococcus pyogenes 7F7,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1709790,1677,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes D471,2639762770,Bacteria,Streptococcus pyogenes D471 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1811968,1835,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes HKU360,2639762947,Bacteria,Streptococcus pyogenes HKU360 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1944537,1963,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes HKU488,2648501373,Bacteria,Streptococcus pyogenes HKU488,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1943415,1983,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes HSC5,2563366592,Bacteria,Streptococcus pyogenes HSC5 whole genome,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1818351,1856,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes JRS4,2654587555,Bacteria,Streptococcus pyogenes strain:JRS4 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1811968,1835,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes M23ND,2627853682,Bacteria,Streptococcus pyogenes M23ND Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1846477,1890,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes M28PF1,2648501826,Bacteria,Streptococcus pyogenes M28PF1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1896976,1923,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes MEW123,2671180765,Bacteria,Streptococcus pyogenes MEW123 Genome sequencing and assembly,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1878699,1909,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes MEW427,2671181182,Bacteria,Streptococcus pyogenes MEW427 Genome sequencing and assembly,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1814455,1874,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes MGAS11027,2681812968,Bacteria,Streptococcus pyogenes MGAS11027,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1786874,1779,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes MGAS1882,2519103112,Bacteria,Streptococcus pyogenes MGAS1882,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1781029,1791,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes MGAS23530,2687453326,Bacteria,Streptococcus pyogenes MGAS23530 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1709394,1667,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes MGAS27061,2684623169,Bacteria,Streptococcus pyogenes MGAS27061 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1741348,1704,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes MTB314,2687453350,Bacteria,Streptococcus pyogenes MTB314 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1744827,1756,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes NGAS322,2687453381,Bacteria,Streptococcus pyogenes Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1950469,1973,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes NGAS638,2684623197,Bacteria,Streptococcus pyogenes Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1791401,1801,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes NS53,2684623069,Bacteria,Genome characterization of Streptococcus pyogenes NS53,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1765123,1721,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes STAB 1001,2684623180,Bacteria,Whole genome sequencing of Streptococcus pyogenes M/emm28 isolated from perianal streptococcal cellulitis in child in Britanny (French),Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1950454,1969,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes STAB13021,2687453241,Bacteria,Streptococcus pyogenes STAB13021 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1810516,1809,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes STAB901,2585427628,Bacteria,Streptococcus pyogenes STAB901,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1795609,1812,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes STAB902,2585427631,Bacteria,Streptococcus pyogenes STAB902,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1892124,1918,None,None,None,None,None,None,None,None,None,None,None
Streptococcus pyogenes STAB903,2585427630,Bacteria,Streptococcus pyogenes STAB903,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,,,,,Uncategorized,1709442,1697,None,None,None,None,None,None,None,None,None,None,None
Streptococcus salivarius JF,2687453478,Bacteria,Streptococcus salivarius strain:JF Genome sequencing and assembly,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,,,,,Uncategorized,2191044,2118,None,None,None,None,None,None,None,None,None,None,None
Streptococcus salivarius NCTC 8618,2684623183,Bacteria,Complete genome sequence of Streptococcus salivarius NCTC 8618,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,,,,,Uncategorized,2188923,2095,None,None,None,None,None,None,None,None,None,None,None
Streptococcus sp. A12,2684623207,Bacteria,Oral alkali production and caries prevention in children UF-IRB01272-2012,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. A12,,,,,Uncategorized,1874337,1856,None,None,None,None,None,None,None,None,None,None,None
Streptococcus sp. F0610 (5-114),2687453640,Bacteria,Human oral bacterial isolates genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. oral taxon 431,,,,,Uncategorized,2177905,2095,None,None,None,None,None,None,None,None,None,None,None
Streptococcus sp. VT 162,2576861446,Bacteria,Streptococcus sp. VT 162,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. VT 162,,,,,Uncategorized,2045418,2009,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis 90-1330,2687453411,Bacteria,Streptococcus suis 90-1330 genome sequencing and assembly,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2146151,2162,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis D12,2511231193,Bacteria,Comparative genomic characterization of prevalent Streptococcus suis serotypes,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2183059,2190,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis D9,2511231189,Bacteria,Comparative genomic characterization of prevalent Streptococcus suis serotypes,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2177656,2196,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis DN13,2687453504,Bacteria,Streptococcus suis DN13 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2142184,2119,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis NSUI002,2648501829,Bacteria,Streptococcus suis NSUI002 genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2255345,2311,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis SS12,2511231186,Bacteria,Comparative genomic characterization of prevalent Streptococcus suis serotypes,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2096866,2161,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis SS2-1,2718218047,Bacteria,Streptococcus suis SS2-1 Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2094030,2053,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis ST1,2511231211,Bacteria,Comparative genomic characterization of prevalent Streptococcus suis serotypes,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2034321,2097,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis sv. 4 6407,2585427660,Bacteria,Streptococcus suis 6407 Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2292360,2192,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis YB51,2554235447,Bacteria,Streptococcus suis YB51 Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2043655,2080,None,None,None,None,None,None,None,None,None,None,None
Streptococcus suis ZY05719,2627853619,Bacteria,Streptococcus suis strain:ZY05719 Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,,,,,Uncategorized,2094898,2068,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus 1F8CT,2627854038,Bacteria,Streptococcus thermophilus 1F8CT,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1737970,1963,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus 1F8CT null replaces 78559,2667527502,Bacteria,Streptococcus thermophilus 1F8CT,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1736449,1954,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus CS8,2721755747,Bacteria,Streptococcus Thermophilus Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1791656,1985,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus KLDS SM,2718217802,Bacteria,Streptococcus thermophilus KLDS SM Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1856787,2035,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus LMD-9,639633062,Bacteria,Lactic Acid Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1864178,1820,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus M17PTZA496,2597489978,Bacteria,Streptococcus thermophilus M17PTZA496,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1995650,2221,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus MN-BM-A01,2648501478,Bacteria,Streptococcus thermophilus MN-BM-A01,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1876516,2107,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus MN-BM-A02,2648501778,Bacteria,Streptococcus thermophilus strain:MN-BM-A02 Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1850434,2028,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus MTH17CL396,2597489975,Bacteria,Streptococcus thermophilus MTH17CL396,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1820197,1976,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus S9,2684623078,Bacteria,Streptococcus thermophilus strain:S9 Genome sequencing and assembly,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1787436,1978,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus SMQ-301,2639762932,Bacteria,Streptococcus thermophilus SMQ-301 Genome sequencing,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1861792,2040,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus TH1435,2597489979,Bacteria,Streptococcus thermophilus TH1435,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1736768,1876,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus TH1436,2597489968,Bacteria,Streptococcus thermophilus TH1436,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1778638,1929,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus TH1477,2630968542,Bacteria,Streptococcus thermophilus TH1477,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1882527,2104,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus TH1477 null replaces 78558,2667527498,Bacteria,Streptococcus thermophilus TH1477,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1834035,2026,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus TH982 null replaces 78560,2667527497,Bacteria,Streptococcus thermophilus TH982,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1782640,1969,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus TH985,2630968381,Bacteria,Streptococcus thermophilus TH985,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1833599,2044,None,None,None,None,None,None,None,None,None,None,None
Streptococcus thermophilus TH985 null replaces 78561,2663763188,Bacteria,Streptococcus thermophilus TH985,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,,,,,Uncategorized,1789956,1976,None,None,None,None,None,None,None,None,None,None,None
Terribacillus aidingensis MP602,2588253751,Bacteria,Terribacillus aidingensis strain:MP602 Genome sequencing,Firmicutes,Bacilli,Bacillales,Bacillaceae,Terribacillus,Terribacillus aidingensis,,,,,Uncategorized,3577082,3332,None,None,None,None,None,None,None,None,None,None,None
Weissella ceti WS08,2585427640,Bacteria,"Fish pathogen genome projects - Aquacen, Brazil",Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella ceti,,,,,Uncategorized,1355853,1364,None,None,None,None,None,None,None,None,None,None,None
Weissella ceti WS105,2597490308,Bacteria,Genome of Weissella ceti an emerging pathogen of rainbow trout - Universidade Federal de Minas Gerais,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella ceti,,,,,Uncategorized,1390397,1421,None,None,None,None,None,None,None,None,None,None,None
Weissella ceti WS74,2597490186,Bacteria,Genome of Weissella ceti an emerging pathogen of rainbow trout - Universidade Federal de Minas Gerais,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella ceti,,,,,Uncategorized,1389513,1430,None,None,None,None,None,None,None,None,None,None,None
Weissella cibaria CH2,2648501735,Bacteria,Complete genome sequencing of Weissella cibaria CH2,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella cibaria,,,,,Uncategorized,2466961,2449,None,None,None,None,None,None,None,None,None,None,None
Weissella cibaria CH2 null replaces 100905,2654587995,Bacteria,Complete genome sequencing of Weissella cibaria CH2,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella cibaria,,,,,Uncategorized,2581981,2592,None,None,None,None,None,None,None,None,None,None,None
"Ilyobacter polytropus CuHBu1, DSM 2926",649633056,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,Ilyobacter polytropus,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,3132314,3042,complete,incomplete,None,complete,None,None,None,None,None,None,complete
Fusobacterium nucleatum nucleatum ATCC 25586,637000117,Bacteria,Gc00085,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Host-associated,Animal,Unclassified,Reproductive system,animal Host,2174500,2145,None,None,None,incomplete,None,None,None,None,None,None,None
Fusobacterium nucleatum vincentii 3_1_27,2563366552,Bacteria,Human Microbiome Project (HMP) Reference Genomes,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Host-associated,Human,Unclassified,Digestive system,Human Host,2190228,2078,None,None,None,incomplete,None,None,None,None,None,None,None
Fusobacterium hwasookii ChDC F174,2651869741,Bacteria,Genome sequencing of Fusobacterium nucleatum subsp. hwasookii KCOM 1256,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium hwasookii,,,,,Uncategorized,2463707,2326,None,None,None,incomplete,None,None,None,None,None,None,None
Fusobacterium hwasookii ChDC F206,2648501866,Bacteria,Genome sequencing of Fusobacterium nucleatum subsp. hwasookii KCOM 1258,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium hwasookii,,,,,Uncategorized,2424685,2398,None,None,None,incomplete,None,None,None,None,None,None,None
Fusobacterium hwasookii ChDC F206 null replaces 102576,2654587972,Bacteria,Genome sequencing of Fusobacterium nucleatum subsp. hwasookii KCOM 1258,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium hwasookii,,,,,Uncategorized,2430523,2404,None,None,None,incomplete,None,None,None,None,None,None,None
Fusobacterium hwasookii ChDC F300 ChDC F300,2651869710,Bacteria,Genome sequencing of Fusobacterium nucleatum subsp. hwasookii KCOM 1268,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium hwasookii,,,,,Uncategorized,2521574,2509,None,None,None,incomplete,None,None,None,None,None,None,None
Fusobacterium nucleatum animalis ChDC ChDC F324,2636415890,Bacteria,Genome sequencing of Fusobacterium nucleatum subsp. animalis KCOM 1325,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,,,,,Uncategorized,2310804,2248,None,None,None,incomplete,None,None,None,None,None,None,None
Fusobacterium nucleatum nucleatum ChDC F130,2634166401,Bacteria,Genome sequencing Fusobacterium nucleatum subsp. nucleatum KCOM 1250,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,,,,,Uncategorized,2290405,2213,None,None,None,incomplete,None,None,None,None,None,None,None
Fusobacterium nucleatum nucleatum ChDC F316,2639763071,Bacteria,Genome sequencing of Fusobacterium nucleatum subsp. nucleatum KCOM 1322,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,,,,,Uncategorized,2227266,2171,None,None,None,incomplete,None,None,None,None,None,None,None
